pl_name,hostname,sy_snum,sy_pnum,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_dist,planet_type
11 Com b,11 Com,2,1,Radial Velocity,2007,326.03,1.29,,,6165.6,19.4,,,G8 III,4742.0,19.0,2.7,-0.35,[Fe/H],2.31,93.1846,Gas Giant
11 UMi b,11 UMi,1,1,Radial Velocity,2009,516.21997,1.53,,,4684.8142,14.74,,,,4213.0,29.79,2.78,-0.02,[Fe/H],1.93,125.321,Gas Giant
14 And b,14 And,1,1,Radial Velocity,2008,185.84,0.83,,,1525.5,4.8,,,K0 III,4813.0,11.0,2.2,-0.24,[Fe/H],2.63,75.4392,Gas Giant
14 Her b,14 Her,1,2,Radial Velocity,2002,1765.03890112,2.773069,,,2586.74645,8.13881,,,,,,0.91,,,,17.9323,Gas Giant
16 Cyg B b,16 Cyg B,3,1,Radial Velocity,1996,798.5,1.66,,,565.7374,1.78,,,,5750.0,1.13,1.08,0.06,[Fe/H],4.36,21.1397,Gas Giant
17 Sco b,17 Sco,1,1,Radial Velocity,2020,578.38,1.45,,,1373.01872,4.32,,,K3 III,4157.0,25.92,1.22,-0.01,[Fe/H],1.7,124.953,Gas Giant
18 Del b,18 Del,2,1,Radial Velocity,2008,993.3,2.6,,,3273.5,10.3,,,G6 III,4979.0,8.5,2.3,-0.052,[Fe/H],2.82,76.222,Gas Giant
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,Imaging,2008,,330.0,,,3000.0,8.0,,1700.0,K7 V,4060.0,,0.85,,,,139.135,Gas Giant
24 Boo b,24 Boo,1,1,Radial Velocity,2018,30.3506,0.19,,,289.2253,0.91,,,G3 IV,4893.0,10.64,0.99,-0.77,[Fe/H],2.42,95.9863,Gas Giant
24 Sex b,24 Sex,1,2,Radial Velocity,2010,452.8,1.333,,,632.46,1.99,,,,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,72.0691,Gas Giant
24 Sex c,24 Sex,1,2,Radial Velocity,2010,883.0,2.08,,,273.32,0.86,,,,5098.0,4.9,1.54,-0.03,[Fe/H],3.5,72.0691,Gas Giant
2M0437 b,2MASS J04372171+2651014,1,1,Imaging,2021,,118.0,,,1271.31363,4.0,,1450.0,M V,3100.0,0.84,0.17,0.01,[Fe/H],4.5,128.484,Gas Giant
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,Imaging,2013,,84.0,,,4131.79,13.0,,,M5.5/M6,,,0.19,,,,,Gas Giant
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,,52.0,,,7786.5,24.5,,,M3.5 V,3530.0,,0.4,,,,33.8281,Gas Giant
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,Imaging,2015,,156.0,16.141,1.44,4417.837,13.9,,,M6,3064.0,0.28,0.11,,,4.59,,Gas Giant
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,Imaging,2010,,15.0,,,2383.6,7.5,,,M8.5,,,0.02,,,,,Gas Giant
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,Imaging,2004,,55.0,,,1589.15,5.0,,1250.0,M8,,,0.02,,,,64.308,Gas Giant
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,Eclipse Timing Variations,2015,406.0,,,,591.16084,1.86,,,,29564.0,0.2,0.48,,,5.51,396.332,Gas Giant
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,Imaging,2016,,230.0,,,3972.875,12.5,,,K7 V,4045.0,,0.6,,,,69.5737,Gas Giant
30 Ari B b,30 Ari B,4,1,Radial Velocity,2009,335.10001,0.99,,,4392.4106,13.82,,,,6331.0,1.41,1.93,0.19,[Fe/H],4.43,44.657,Gas Giant
4 UMa b,4 UMa,1,1,Radial Velocity,2006,269.3,0.87,,,2256.5,7.1,,,K1 III,4415.0,18.11,1.23,-0.25,[Fe/H],1.8,73.4603,Gas Giant
42 Dra b,42 Dra,2,1,Radial Velocity,2008,479.1,1.19,,,1233.13,3.88,,,K1.5 III,4200.0,22.03,0.98,-0.46,[Fe/H],1.71,90.6545,Gas Giant
47 UMa b,47 UMa,1,3,Radial Velocity,1996,1078.0,2.1,,,804.08,2.53,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,13.7967,Gas Giant
47 UMa c,47 UMa,1,3,Radial Velocity,2001,2391.0,3.6,,,171.621,0.54,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,13.7967,Gas Giant
47 UMa d,47 UMa,1,3,Radial Velocity,2009,14002.0,11.6,,,521.22,1.64,,,,5872.0,1.21,1.06,0.04,[M/H],4.3,13.7967,Gas Giant
51 Peg b,51 Peg,1,1,Radial Velocity,1995,4.230785,0.0527,,,150.009,0.472,,,,5758.0,1.18,1.03,0.18,[M/H],4.31,15.4614,Gas Giant
