sy_snum,sy_pnum,pl_orbper,pl_orbeccen,pl_orbsmax,pl_rade,pl_bmasse,pl_insol,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,planet_type
2.0,1.0,326.03,0.231,1.29,15.475000000000001,6165.6,22.5,2550.0,2.0,4742.0,19.0,2.7,-0.35,1.0,2.31,Gas Giant
1.0,1.0,516.21997,0.08,1.53,12.895,4684.8142,5.09,1231.5,2.5,4213.0,29.79,2.78,-0.02,1.0,1.93,Gas Giant
1.0,1.0,185.84,0.0,0.83,15.830000000000002,1525.5,637.5,1175.0,1.0,4813.0,11.0,2.2,-0.24,1.0,2.63,Gas Giant
1.0,2.0,1765.03890112,0.372689,2.773069,13.74,2586.74645,0.09,233.0,1.0,5413.0,1.025,0.91,0.065,5.0,4.44,Gas Giant
3.0,1.0,798.5,0.68,1.66,10.695,565.7374,0.505,256.0,2.0,5750.0,1.13,1.08,0.06,1.0,4.36,Gas Giant
1.0,1.0,578.38,0.06,1.45,15.830000000000002,1373.01872,395.4,1175.5,1.0,4157.0,25.92,1.22,-0.01,1.0,1.7,Gas Giant
2.0,1.0,993.3,0.08,2.6,10.805,3273.5,0.09,431.5,2.0,4979.0,8.5,2.3,-0.052,1.0,2.82,Gas Giant
1.0,1.0,2164.4220385,0.260261,330.0,10.805,3000.0,0.105,1700.0,1.0,4060.0,1.06,0.85,0.05,5.0,4.32,Gas Giant
1.0,1.0,30.3506,0.042,0.19,13.275,289.2253,308.3,1600.0,2.0,4893.0,10.64,0.99,-0.77,1.0,2.42,Gas Giant
1.0,2.0,452.8,0.09,1.333,10.695,632.46,49.0,976.5,2.0,5098.0,4.9,1.54,-0.03,1.0,3.5,Gas Giant
1.0,2.0,883.0,0.29,2.08,13.275,273.32,0.645,159.5,2.0,5098.0,4.9,1.54,-0.03,1.0,3.5,Gas Giant
1.0,1.0,3.0642349500000003,0.145,118.0,15.830000000000002,1271.31363,118.35000000000001,1450.0,0.0,3100.0,0.84,0.17,0.01,1.0,4.5,Gas Giant
2.0,1.0,8.4209245,0.16999999999999998,84.0,12.895,4131.79,2902.59,1964.5,0.0,5916.0,1.17,0.19,0.11999999999999998,5.0,4.305,Gas Giant
1.0,1.0,14.74695,0.16549999999999998,52.0,15.475000000000001,7786.5,19.105,2550.0,0.0,3530.0,0.35,0.4,-0.04999999999999999,5.0,4.755,Gas Giant
1.0,1.0,4.00777395,0.29,156.0,16.141,4417.837,1.695,1567.5,0.0,3064.0,0.28,0.11,-0.392,5.0,4.59,Gas Giant
1.0,1.0,5.64853445,0.145,15.0,13.74,2383.6,2.2,1350.0,0.0,1477.75,0.16499999999999998,0.02,0.20500000000000002,5.0,4.484999999999999,Gas Giant
1.0,1.0,3.0642349500000003,0.145,55.0,15.830000000000002,1589.15,3.18,1250.0,0.0,1477.75,0.16499999999999998,0.02,0.20500000000000002,5.0,4.484999999999999,Gas Giant
2.0,3.0,406.0,0.33,2.175,10.695,591.16084,24631.25,2975.0,0.0,29564.0,0.2,0.48,-0.195,5.0,5.51,Gas Giant
1.0,1.0,17.350604,0.315,230.0,10.805,3972.875,1.695,461.5,1.0,4045.0,0.54,0.6,-0.28,5.0,4.72,Gas Giant
4.0,1.0,335.10001,0.29,0.99,12.895,4392.4106,2902.58,1279.5,2.5,6331.0,1.41,1.93,0.19,1.0,4.43,Gas Giant
1.0,1.0,269.3,0.432,0.87,13.74,2256.5,637.5,756.5,1.0,4415.0,18.11,1.23,-0.25,1.0,1.8,Gas Giant
2.0,1.0,479.1,0.38,1.19,15.830000000000002,1233.13,395.4,1175.5,1.0,4200.0,22.03,0.98,-0.46,1.0,1.71,Gas Giant
1.0,3.0,1078.0,0.032,2.1,12.895,804.08,0.525,253.5,3.5,5872.0,1.21,1.06,0.04,2.0,4.3,Gas Giant
1.0,3.0,2391.0,0.098,3.6,10.805,171.621,0.32,163.0,3.5,5872.0,1.21,1.06,0.04,2.0,4.3,Gas Giant
1.0,3.0,14002.0,0.16,11.6,10.695,521.22,0.125,899.5,3.5,5872.0,1.21,1.06,0.04,2.0,4.3,Gas Giant
3.0,1.0,4.803325,0.0,13.2,10.695,635.66,750.85,700.0,3.0,6381.0,1.925,1.75,-0.027,2.0,4.085,Gas Giant
1.0,1.0,4.230785,0.013,0.0527,10.805,150.009,1148.45,1588.5,3.5,5758.0,1.18,1.03,0.18,2.0,4.31,Gas Giant
2.0,5.0,14.6516,0.0,0.1134,13.275,255.4,393.0,1337.0,2.0,5172.0,0.94,0.91,0.35,1.0,4.43,Gas Giant
2.0,5.0,44.3989,0.03,0.2373,15.830000000000002,51.2,9.21,423.5,2.0,5172.0,0.94,0.91,0.35,1.0,4.43,Gas Giant
2.0,5.0,5574.2,0.13,5.957,12.895,991.6,0.125,97.5,2.0,5172.0,0.94,0.91,0.35,1.0,4.43,Gas Giant
2.0,5.0,0.7365474,0.05,0.01544,1.875,7.99,171.45,1053.5,2.0,5172.0,0.94,0.91,0.35,1.0,4.43,Super Earth
2.0,5.0,259.88,0.08,0.7708,15.830000000000002,47.8,0.935,260.5,2.0,5172.0,0.94,0.91,0.35,1.0,4.43,Gas Giant
1.0,1.0,934.3,0.073,2.11,10.695,638.8383,0.505,159.5,3.0,4938.0,5.2,1.44,0.005,5.0,3.19,Gas Giant
1.0,3.0,4.215,0.12,0.050201,4.15,5.1,1858.76,1510.0,2.0,5577.0,0.96,0.94,-0.01,1.0,4.34,Neptune-like
1.0,3.0,38.021,0.14,0.2175,4.18,18.2,1858.76,856.5,2.0,5577.0,0.96,0.94,-0.01,1.0,4.34,Neptune-like
1.0,3.0,123.01,0.35,0.476,4.18,22.9,6.42,414.0,2.0,5577.0,0.96,0.94,-0.01,1.0,4.34,Neptune-like
1.0,2.0,735.1,0.06,1.758,10.695,587.9855,49.0,159.5,2.0,4826.0,4.87,1.34,0.21,1.0,3.19,Gas Giant
1.0,2.0,996.0,0.08,2.153,13.275,276.5121,0.58,159.5,2.0,4826.0,4.87,1.34,0.21,1.0,3.19,Gas Giant
1.0,1.0,116.688,0.3988,0.481,13.74,2357.02728,456.5,877.5,1.0,5495.0,1.89,1.09,0.33999999999999997,5.0,3.95,Gas Giant
2.0,1.0,691.9,0.117,2.1,14.9055,953.49,350.5,729.0,2.0,4846.0,10.5,2.49,0.0,1.0,2.63,Gas Giant
1.0,1.0,93.4,0.06,0.49,13.275,416.3573,49.0,1222.0,2.0,4847.0,10.3,1.44,-0.03,1.0,2.57,Gas Giant
1.0,1.0,952.7,0.206,2.5,15.830000000000002,1684.4,307.17,946.5,2.0,4785.0,11.0,2.4,-0.06,1.0,2.35,Gas Giant
3.0,1.0,181.4,0.027,0.7,12.895,1017.0,350.5,1390.5,1.0,4665.0,11.0,1.4,-0.03,1.0,2.52,Gas Giant
1.0,1.0,3.911325,0.4,93.9,13.74,2860.45566,24631.25,2031.0,3.5,9770.0,1.4,2.4,-0.2095,5.0,4.02,Gas Giant
1.0,1.0,7670000.0,0.2631595,260.0,12.895,4290.5,0.125,1987.5,1.0,5071.5,13.899999999999999,4.56,-0.47,5.0,2.935,Gas Giant
1.0,2.0,8.4629991,0.186,0.0645,4.18,20.12,24631.25,3260.0,5.0,15916.5,0.325,0.5,0.09,5.0,5.17,Neptune-like
1.0,2.0,18.858991,0.1295,0.1101,3.965,9.6,24631.25,3260.0,5.0,15916.5,0.325,0.5,0.09,5.0,5.17,Neptune-like
1.0,1.0,481.9,0.2,1.3,15.830000000000002,2034.112,637.5,985.0,2.0,4095.0,32.35,1.14,-0.71,1.0,1.89,Gas Giant
1.0,1.0,268.94,0.29,0.78,13.275,330.5432,0.9199999999999999,1180.0,0.0,4864.0,0.86,0.49,0.17,1.0,4.26,Gas Giant
1.0,1.0,153.22,0.001,0.576,13.275,337.21763,136.26500000000001,977.0,2.0,4649.0,8.95,1.08,-0.22,1.0,2.61,Gas Giant
1.0,1.0,137.48,0.26,0.539,14.045000000000002,352.78,49.0,1242.0,1.0,4796.0,14.7,1.1,0.28,1.0,2.8,Gas Giant
1.0,2.0,379.63,0.15,1.05,10.695,17668.1697,2330.0,1048.5,3.0,4259.0,71.02,10.83,-0.79,1.0,1.77,Gas Giant
1.0,2.0,621.99,0.18,2.01,10.805,3963.17,0.09999999999999999,129.5,1.0,4137.0,49.0,2.8,-1.0,1.0,1.51,Gas Giant
1.0,1.0,578.2,0.21,1.3,15.830000000000002,1334.886,395.4,1175.5,1.0,4296.0,17.3,0.8,-0.46,1.0,1.99,Gas Giant
1.0,1.0,41.6855,0.0,27.965500000000002,2.578,22.2481,41.75,710.0,2.0,5766.0,1.08,1.67,-0.15,1.0,4.5,Neptune-like
1.0,1.0,307.88,0.12,0.83,13.275,432.24663,393.5,1709.0,1.0,5004.0,0.77,0.81,-0.09,1.0,4.22,Gas Giant
1.0,1.0,392.6,0.2,1.0,13.275,289.2253,0.435,923.0,1.0,4414.0,11.0,0.74,-0.2,1.0,2.24,Gas Giant
1.0,1.0,733.0,0.76,1.7,10.695,540.311,0.535,129.5,2.0,4534.0,10.33,1.09,-0.13,1.0,2.48,Gas Giant
1.0,1.0,2590.0,0.35,4.2,13.275,508.5,0.32,137.5,1.0,4943.0,7.6,1.52,-0.19,1.0,2.85,Gas Giant
1.0,1.0,265.59,0.27,0.78,13.275,228.83645,233.74,225.5,1.0,5012.0,0.78,0.91,0.18,1.0,4.09,Gas Giant
1.0,1.0,8.680757625,0.7403500000000001,1662.0,14.684,4767.4261,22.5,1303.0,1.0,4993.0,0.8,1.0,0.115,5.0,4.55,Gas Giant
1.0,1.0,1198.48,0.88,2.06,15.830000000000002,1258.60049,0.525,194.0,1.0,5000.0,0.775,0.82,-0.09,1.0,4.2,Gas Giant
1.0,1.0,723.2,0.39,1.48,15.475000000000001,7961.6016,2330.0,2550.0,2.0,5040.0,3.5999999999999996,0.81,-0.14,1.0,4.25,Gas Giant
1.0,2.0,3.8728,0.0,0.0428,3.965,8.5,45.455,781.5,1.0,4324.0,11.094999999999999,0.7,-0.14,1.0,4.74,Neptune-like
1.0,2.0,125.94,0.31,0.435,15.830000000000002,53.0,0.435,488.5,1.0,4324.0,11.094999999999999,0.7,-0.14,1.0,4.74,Gas Giant
1.0,2.0,5.6,0.15,0.06,4.18,12.7132,67.75,909.5,0.0,4816.0,0.71,0.5,-0.06,1.0,4.43,Neptune-like
1.0,2.0,237.6,0.19,0.68,42.551,104.0,0.9199999999999999,246.0,1.0,4746.0,5.2700000000000005,0.74,-0.07,1.0,4.13,Gas Giant
1.0,1.0,3.48777,0.02,0.04,13.275,187.5197,460.2,1164.5,2.0,5393.0,0.91,1.47,0.38,1.0,4.69,Gas Giant
1.0,2.0,1634.0,0.05,2.36,16.623,206.5895,0.255,129.5,0.5,4550.0,0.64,0.65,-0.35,1.0,4.64,Gas Giant
1.0,2.0,74.2,0.4,0.3,4.15,15.37,6.175,458.0,0.5,4550.0,0.64,0.65,-0.35,1.0,4.64,Neptune-like
1.0,1.0,714.29999,0.21,1.66,10.805,3108.3774,0.09999999999999999,868.5,2.5,4545.0,19.17,2.12,-0.08,1.0,2.2,Gas Giant
1.0,1.0,655.6,0.54,1.34,15.830000000000002,1620.9,637.5,1175.0,1.0,4714.0,0.69,0.74,-0.03,1.0,4.26,Gas Giant
1.0,1.0,2.2907,0.03,0.0185,1.685,3.95,8.6,464.0,0.0,3130.0,0.17,0.16,0.13,1.0,4.93,Super Earth
1.0,1.0,10037.5,0.265,2.6,10.805,3337.1,0.125,370.0,0.0,580.5,0.3,0.02,-0.085,5.0,4.72,Gas Giant
1.0,1.0,8040000.0,0.255,200.0,20.849,2479.06157,0.125,1800.0,0.0,2320.0,0.24,0.01,-0.2,5.0,3.85,Gas Giant
1.0,1.0,2.478343545,0.29,210.0,10.805,3994.486,1.695,1530.0,0.0,3537.0,0.33499999999999996,0.35,-0.7,5.0,4.925,Gas Giant
1.0,1.0,8.9891,0.25,160.0435,10.805,3686.828,2902.59,465.0,1.0,4820.5,0.87,0.9,-0.085,5.0,4.52,Gas Giant
1.0,1.0,402000000.0,0.495,7506.0,12.442,2002.31896,0.125,434.0,0.0,3406.0,0.39,0.37,0.0,1.0,4.83,Gas Giant
1.0,1.0,4545000.0,0.255,440.0,24.66,5403.0,0.125,2600.0,5.0,10135.0,6.375,2.3,-0.2,5.0,3.805,Gas Giant
1.0,1.0,1.5089557,0.0,3.0300000000000002,16.7,327.35,1864.5,1898.0,2.0,5950.0,1.11,0.95,-0.3,2.0,4.25,Gas Giant
1.0,1.0,13.2406,0.53,0.1055,10.87,874.0,49.0,600.0,1.0,5075.0,0.79,0.89,0.26,1.0,4.65,Gas Giant
1.0,1.0,2.99433,0.0,0.0436,16.03,740.51,859.5,1657.0,3.0,6440.0,1.37,1.27,-0.03,1.0,4.22,Gas Giant
1.0,1.0,2.828042,0.07,0.04016,16.14,291.438,897.05,1442.0,2.0,5675.0,1.12,1.08,0.16,1.0,4.38,Gas Giant
1.0,1.0,4.03519,0.0,0.051,9.92,415.704,1521.5,1700.0,2.0,5945.0,1.01,1.09,0.01,1.0,4.46,Gas Giant
1.0,1.0,1.51214,0.0,0.027,12.22,2415.4,1866.5,1952.0,3.0,6035.0,1.21,1.13,0.05,1.0,4.35,Gas Giant
1.0,1.0,5.35227,0.33,0.0618,13.11,170.032,874.45,1348.0,2.0,5650.0,1.19,1.1,0.19,2.0,4.36,Gas Giant
1.0,1.0,3.7681,0.0,0.0461,11.43,772.29,1129.25,1626.0,2.0,5740.0,1.59,1.04,0.0,1.0,4.4,Gas Giant
1.0,1.0,1.9000693,0.08,0.0295,14.68,1102.82,596.35,1550.0,2.0,5440.0,1.0,0.95,-0.1,1.0,4.4,Gas Giant
1.0,1.0,3.89713,0.047,0.0518,14.46,352.78,1864.5,2000.0,3.0,6090.0,1.65,1.21,-0.02,1.0,4.07,Gas Giant
2.0,1.0,1.7429935,0.0143,0.02798,16.432,1102.82,521.6,1319.5,2.0,5625.0,0.91,0.96,0.2575,5.0,4.53,Gas Giant
1.0,2.0,9.24285,0.59,0.09,15.830000000000002,1366.669,882.5,1291.0,2.5,5686.5,1.2650000000000001,1.14,0.2135,5.0,4.445,Gas Giant
1.0,2.0,1675.0,0.6,2.9,12.895,5403.11,5.08,228.5,2.5,5686.5,1.2650000000000001,1.14,0.21,5.0,4.445,Gas Giant
1.0,1.0,2.72474,0.0,0.0417,14.572,718.2958,1173.0,1922.5,3.0,6200.0,1.95,1.29,0.0,1.0,3.7,Gas Giant
1.0,1.0,9.75598,0.077,0.092,4.88,12.2,187.0,885.0,2.0,5939.0,1.14,1.1,0.17,1.0,4.36,Neptune-like
1.0,1.0,3.6313,0.16,0.048,11.77,889.9,730.25,1660.0,2.0,5900.0,1.61,1.14,0.05,1.0,4.3,Gas Giant
1.0,2.0,5.1134,0.0,0.056,3.7,5.7,53.5,1070.0,1.0,4950.0,0.86,0.91,0.3,1.0,4.55,Neptune-like
1.0,2.0,11.759,0.0,0.098,5.0,28.0,53.5,850.0,1.0,4950.0,0.86,0.91,0.3,1.0,4.55,Neptune-like
1.0,1.0,4.86069,0.0,0.0578,12.11,85.81,249.55,1330.0,3.0,6040.0,1.19,1.09,-0.01,1.0,4.31,Gas Giant
1.0,1.0,4.20474,0.0,0.0526,14.12,165.26,895.4000000000001,1600.0,2.0,5590.0,1.79,1.09,0.01,1.0,3.99,Gas Giant
1.0,1.0,3.57532,0.065,0.0476,11.287,3302.11,3209.5,1500.0,2.0,5900.0,1.08,1.05,-0.1,2.0,4.4,Gas Giant
1.0,1.0,5.20851,0.047,0.0603,10.705,153.82972,306.75,1278.0,2.0,5150.0,1.78,1.01,0.15,1.0,3.6,Gas Giant
1.0,1.0,2.85057,0.082,0.0386,10.088,270.1555,285.8,971.0,1.0,5260.0,0.9,0.97,0.2,1.0,4.3,Gas Giant
1.0,1.0,4.2568,0.0,0.0495,11.32,6883.91,2342.5,1598.5,3.0,6740.0,1.56,1.37,0.22499999999999998,5.0,4.22,Gas Giant
1.0,1.0,9.06005,0.007,0.0844,11.31,921.707,596.35,1502.5,2.0,5650.0,0.91,0.98,0.02,1.0,4.4,Gas Giant
1.0,1.0,4.62941,0.02,0.0586,16.365,266.9772,714.5,1312.5,2.0,5700.0,2.15,1.25,0.0,1.0,3.85,Gas Giant
1.0,1.0,3.22748,0.0,0.0429,18.831,349.61125,1804.5,1747.0,3.0,6390.0,1.65,1.01,-0.5,1.0,4.01,Gas Giant
1.0,1.0,5.616531,0.0,0.066,15.805,216.12332,163.5,1567.0,3.0,6730.0,1.52,1.32,-0.1,1.0,4.16,Gas Giant
1.0,1.0,9.20205,0.0,0.09,13.34,228.83,296.0,1074.0,2.5,6190.0,1.17,1.16,0.07,5.0,4.41,Gas Giant
1.0,1.0,4.0378962,0.09,0.04947,15.558,148.42,744.05,1438.0,3.0,6100.0,1.19,1.0,-0.25,2.0,4.19,Gas Giant
1.0,1.0,8.886593,0.1,0.0855,13.068,940.74,685.5,1017.0,3.0,6090.0,1.02,1.05,-0.2,1.0,4.43,Gas Giant
1.0,3.0,0.85359163,0.0,3.61,1.681,4.07661,107.0,951.5,1.5,5275.0,0.83,0.82,0.05,1.0,4.5,Super Earth
1.0,3.0,3.698,0.0,0.046,3.965,8.4,80.5,865.5,3.5,5256.0,0.86,0.9,0.06,2.0,4.52,Neptune-like
1.0,3.0,8.966,0.1255,3.0300000000000002,4.18,17.142,80.5,783.5,2.0,5250.0,1.24,0.92,0.06,5.0,4.22,Neptune-like
1.0,1.0,6.21229,0.0,0.063,6.39,69.92,27.425,817.5,1.0,5080.0,0.77,0.88,0.3,2.0,4.58,Gas Giant
2.0,1.0,95.272656,0.133,0.4021,11.949,266.9772,22.150000000000002,420.0,2.0,5625.0,0.96,0.96,-0.01,1.0,4.54,Gas Giant
1.0,1.0,6.71837,0.3,0.071,6.389,47.6745,132.26,938.0,2.0,5970.0,0.79,1.08,0.0,1.0,4.67,Gas Giant
2.0,1.0,4098.1,0.0,5.75,10.805,3823.2733,0.125,941.5,2.5,4049.5,0.57,0.51,-0.03,5.0,4.635,Gas Giant
1.0,1.0,246.36,0.345,0.36,15.830000000000002,9057.77,6.605,1550.0,0.0,2660.0,1.87,0.07,-0.19,5.0,4.475,Gas Giant
1.0,1.0,7.582835005,0.275,330.0,10.805,3496.0,1.695,461.5,0.0,3435.0,0.27,0.33,-0.22,5.0,4.98,Gas Giant
1.0,4.0,18.57,0.083,0.1462,4.18,24.27,137.0,877.0,3.0,6196.0,1.26,1.21,0.07,5.0,4.41,Neptune-like
1.0,4.0,6.584,0.057,0.0733,3.965,9.6,137.0,1239.0,3.0,6196.0,1.26,1.21,0.10400000000000001,5.0,4.41,Neptune-like
1.0,4.0,2.882,0.07,0.0422,1.685,3.35,572.35,1632.0,3.0,6196.0,1.26,1.21,0.10400000000000001,5.0,4.41,Super Earth
1.0,4.0,5.516,0.07,0.0651,1.685,4.13,333.5,1314.0,3.0,6196.0,1.26,1.21,0.10400000000000001,5.0,4.41,Super Earth
